name,skill_id,count,expectation,estimated_weight
Critical UP [L]: at 30%,30000398,112,0.067879,1105.6268509378085
Skill Rate+ [S],30000004,110,0.066667,1085.883514313919
Voltage UP [L]: at 30%,30000396,98,0.059394,967.4234945705824
Appeal+ [S],30000001,93,0.056364,918.0651530108588
Voltage UP [L]: on AC Success,30000150,90,0.054545,888.4501480750247
SP Skill UP [S]: on AC Success,30000154,89,0.053939,878.5784797630799
Voltage Gain [SP]: at Song Start,30000523,59,0.035758,582.4284304047384
Voltage UP [S]: at 30% / All,30000417,46,0.027879,454.09674234945703
Voltage UP [S]: on AC Success / All,30000171,37,0.022424,365.25172754195455
Critical UP [S]: at 30% / All,30000419,29,0.017576,286.2783810463969
Voltage Gain [MAX]: at Song Start,30000522,24,0.014545,236.92003948667326
Voltage UP [M]: on AC Success / Same Strategy,30000211,9,0.005455,88.84501480750247
Appeal+ [M]: Same Year,30000492,9,0.005455,88.84501480750247
Critical+ [S]: Same Strategy,30000027,9,0.005455,88.84501480750247
Critical UP [M]: at 30% / Same Strategy,30000459,9,0.005455,88.84501480750247
Voltage UP [M]: on AC Success / Same Year,30000181,8,0.004848,78.97334649555775
Voltage UP [M]: on AC Success / Buddy,30000161,8,0.004848,78.97334649555775
Appeal+ [M]: Same Strategy,30000507,8,0.004848,78.97334649555775
Skill Rate+ [S]: Same Strategy,30000029,8,0.004848,78.97334649555775
Skill Rate+ [S]: Type,30000034,8,0.004848,78.97334649555775
Critical+ [S]: Same School,30000022,8,0.004848,78.97334649555775
Appeal+ [S]: Same Year,30000011,7,0.004242,69.10167818361303
Critical+ [S]: Same Year,30000012,7,0.004242,69.10167818361303
Critical UP [M]: at 30% / Same Year,30000429,7,0.004242,69.10167818361303
Critical UP [M]: at 30% / Type,30000469,7,0.004242,69.10167818361303
Combo Count UP [S]: at 80% Remaining,30000295,6,0.003636,59.230009871668315
Voltage UP [M]: on AC Success / Same Attribute,30000231,6,0.003636,59.230009871668315
Appeal+ [M]: Same Attribute,30000517,6,0.003636,59.230009871668315
Critical UP [M]: at 30% / Buddy,30000409,6,0.003636,59.230009871668315
Voltage UP [M]: on AC Success / Same School,30000201,5,0.003030,49.35834155972359
Appeal+ [M]: Buddy,30000482,5,0.003030,49.35834155972359
Voltage UP [M]: at 30% / Same School,30000447,5,0.003030,49.35834155972359
Combo Count UP [S]: at Song Start,30000236,5,0.003030,49.35834155972359
Appeal+ [S]: Type,30000031,5,0.003030,49.35834155972359
Appeal+ [S]: Same Attribute,30000036,5,0.003030,49.35834155972359
Appeal+ [S]: Same Strategy,30000026,5,0.003030,49.35834155972359
Voltage UP [M]: on AC Success / Type,30000221,4,0.002424,39.486673247778874
Voltage UP [M]: at 30% / Buddy,30000407,4,0.002424,39.486673247778874
Voltage UP [M]: at 30% / Same Attribute,30000477,4,0.002424,39.486673247778874
Voltage UP [M]: at 30% / Same Year,30000427,4,0.002424,39.486673247778874
Appeal+ [M]: Same School,30000502,4,0.002424,39.486673247778874
Voltage UP [M]: at 30% / Type,30000467,4,0.002424,39.486673247778874
Appeal+ [S]: Same School,30000021,4,0.002424,39.486673247778874
Critical UP [M]: at 30% / Same Attribute,30000479,3,0.001818,29.615004935834158
Combo Count UP [S]: on AC Success,30000144,3,0.001818,29.615004935834158
Skill Rate+ [M]: Same Attribute,30000520,3,0.001818,29.615004935834158
Skill Rate+ [S]: All,30000490,3,0.001818,29.615004935834158
Combo Count UP [S]: at 30%,30000390,3,0.001818,29.615004935834158
Appeal+ [M]: Type,30000512,3,0.001818,29.615004935834158
Voltage UP [M]: at 30% / Same Strategy,30000457,2,0.001212,19.743336623889437
Critical UP [M]: at 30% / Same School,30000449,2,0.001212,19.743336623889437
Critical+ [M]: Same Strategy,30000508,2,0.001212,19.743336623889437
Appeal+ [L],30000041,2,0.001212,19.743336623889437
Critical+ [M]: Buddy,30000483,1,0.000606,9.871668311944719
