content_id,content_type,content_amount,rarity,count,expectation,estimated_weight
1700,12,2,1,2099,1.336092,1013.2264916006951
1920,12,6,1,566,0.360280,273.21876810195016
1922,12,3,3,558,0.355188,269.3570187294845
1940,12,6,1,554,0.352642,267.42614404325155
1950,12,6,1,553,0.352005,266.94342537169337
1942,12,3,3,541,0.344367,261.15080131299476
1921,12,4,2,536,0.341184,258.7372079552037
1930,12,6,1,536,0.341184,258.7372079552037
1931,12,4,2,526,0.334819,253.91002123962156
1932,12,3,3,520,0.330999,251.01370921027225
1952,12,3,3,516,0.328453,249.0828345240394
1941,12,4,2,510,0.324634,246.18652249469008
1951,12,4,2,495,0.315086,238.94574242131685
12201,12,3,1,399,0.253978,192.6047499517281
12401,12,3,1,391,0.248886,188.7430005792624
12301,12,3,1,371,0.236155,179.08862714809808
12101,12,3,1,370,0.235519,178.60590847653987
1940,12,8,1,366,0.232973,176.675033790307
1930,12,7,1,352,0.224061,169.91697238849198
1930,12,8,1,346,0.220242,167.0206603591427
1920,12,8,1,342,0.217696,165.0897856729098
1950,12,8,1,339,0.215786,163.64162965823516
1920,12,7,1,338,0.215150,163.15891098667697
1950,12,7,1,330,0.210057,159.29716161421123
1940,12,7,1,310,0.197327,149.64278818304692
1921,12,6,2,292,0.185869,140.95385209499904
1951,12,6,2,281,0.178867,135.64394670785867
1921,12,5,2,276,0.175684,133.2303533500676
1951,12,5,2,273,0.173775,131.78219733539294
1941,12,5,2,272,0.173138,131.29947866383472
1931,12,6,2,271,0.172502,130.8167599922765
1931,12,5,2,270,0.171865,130.33404132071828
1941,12,6,2,267,0.169955,128.88588530604363
12202,12,2,2,254,0.161680,122.61054257578682
12102,12,2,2,248,0.157861,119.71423054643753
12402,12,2,2,242,0.154042,116.81791851708823
12302,12,2,2,234,0.148950,112.95616914462252
12203,12,2,3,228,0.145130,110.05985711527323
12403,12,2,3,228,0.145130,110.05985711527323
12304,12,2,4,225,0.143221,108.61170110059857
12404,12,2,4,225,0.143221,108.61170110059857
12103,12,2,3,216,0.137492,104.26723305657464
12303,12,2,3,214,0.136219,103.30179571345819
12104,12,2,4,201,0.127944,97.02645298320138
12204,12,2,4,198,0.126034,95.57829696852674
1922,12,5,3,154,0.098027,74.33867541996524
1942,12,4,3,147,0.093571,70.95964471905774
1952,12,4,3,146,0.092934,70.47692604749952
1952,12,5,3,142,0.090388,68.54605136126665
1932,12,4,3,138,0.087842,66.6151766750338
1922,12,4,3,132,0.084023,63.7188646456845
1932,12,5,3,131,0.083386,63.23614597412628
1942,12,5,3,127,0.080840,61.30527128789341
12301,12,5,1,121,0.077021,58.408959258544115
12401,12,4,1,116,0.073838,55.99536590075304
12401,12,5,1,116,0.073838,55.99536590075304
12101,12,4,1,108,0.068746,52.13361652828732
12301,12,4,1,107,0.068109,51.650897856729095
12201,12,4,1,97,0.061744,46.82371114114694
12101,12,5,1,95,0.060471,45.85827379803051
12201,12,5,1,92,0.058561,44.41011778335586
12402,12,3,2,62,0.039465,29.928557636609384
12302,12,3,2,60,0.038192,28.963120293492953
12302,12,4,2,54,0.034373,26.06680826414366
12202,12,3,2,54,0.034373,26.06680826414366
12204,12,3,4,50,0.031827,24.13593357791079
12403,12,4,3,50,0.031827,24.13593357791079
12303,12,4,3,49,0.031190,23.653214906352577
12304,12,3,4,48,0.030554,23.170496234794363
12102,12,3,2,48,0.030554,23.170496234794363
12204,12,4,4,45,0.028644,21.722340220119715
12104,12,3,4,44,0.028008,21.239621548561498
12303,12,3,3,44,0.028008,21.239621548561498
12404,12,4,4,41,0.026098,19.79146553388685
12103,12,4,3,41,0.026098,19.79146553388685
12202,12,4,2,41,0.026098,19.79146553388685
12104,12,4,4,40,0.025461,19.308746862328636
12103,12,3,3,40,0.025461,19.308746862328636
12403,12,3,3,38,0.024188,18.3433095192122
12203,12,4,3,38,0.024188,18.3433095192122
12102,12,4,2,37,0.023552,17.860590847653988
12402,12,4,2,37,0.023552,17.860590847653988
12203,12,3,3,37,0.023552,17.860590847653988
12404,12,3,4,36,0.022915,17.37787217609577
12304,12,4,4,34,0.021642,16.41243483297934
