name,id,rarity,sum,expectation
Green Macaron ★1,,1,,5.607054
Red Macaron ★1,,1,,5.579208
Yellow Macaron ★1,,1,,5.487624
Purple Macaron ★1,,1,,5.362005
Pink Macaron ★1,,1,,5.341584
Blue Macaron ★1,,1,,5.142327
Purple Macaron ★2,,2,,3.388614
Yellow Macaron ★2,,2,,3.318688
Red Macaron ★2,,2,,3.236386
Blue Macaron ★2,,2,,3.208540
Pink Macaron ★2,,2,,3.201114
Green Macaron ★2,,2,,3.144802
School Idol Badge,,1,,2.559406
Blue Macaron ★3,,3,,1.930074
Red Macaron ★3,,3,,1.796411
Pink Macaron ★3,,3,,1.770421
Yellow Macaron ★3,,3,,1.755569
Green Macaron ★3,,3,,1.748762
Purple Macaron ★3,,3,,1.704208
