lesson,l1_id,l1_en,l2_id,l2_en,l3_id,l3_en,count
111,636553,Running,636553,Running,636553,Running,27145
112,636553,Running,636553,Running,783324,Flyer Distribution,1716
113,636553,Running,636553,Running,641538,Meditation,1626
114,636553,Running,636553,Running,435023,Dance,1756
115,636553,Running,636553,Running,572712,Voice Training,11545
116,636553,Running,636553,Running,387018,Push-ups,1599
117,636553,Running,636553,Running,678291,Stretching,1647
118,636553,Running,636553,Running,166110,Swimming,1572
121,636553,Running,783324,Flyer Distribution,636553,Running,1544
122,636553,Running,783324,Flyer Distribution,783324,Flyer Distribution,11387
123,636553,Running,783324,Flyer Distribution,641538,Meditation,1713
124,636553,Running,783324,Flyer Distribution,435023,Dance,1670
125,636553,Running,783324,Flyer Distribution,572712,Voice Training,1723
126,636553,Running,783324,Flyer Distribution,387018,Push-ups,1685
127,636553,Running,783324,Flyer Distribution,678291,Stretching,1632
128,636553,Running,783324,Flyer Distribution,166110,Swimming,1631
131,636553,Running,641538,Meditation,636553,Running,1488
132,636553,Running,641538,Meditation,783324,Flyer Distribution,1485
133,636553,Running,641538,Meditation,641538,Meditation,11919
134,636553,Running,641538,Meditation,435023,Dance,1692
135,636553,Running,641538,Meditation,572712,Voice Training,1837
136,636553,Running,641538,Meditation,387018,Push-ups,6163
137,636553,Running,641538,Meditation,678291,Stretching,1741
138,636553,Running,641538,Meditation,166110,Swimming,1614
141,636553,Running,435023,Dance,636553,Running,1522
142,636553,Running,435023,Dance,783324,Flyer Distribution,1533
143,636553,Running,435023,Dance,641538,Meditation,1593
144,636553,Running,435023,Dance,435023,Dance,11643
145,636553,Running,435023,Dance,572712,Voice Training,1631
146,636553,Running,435023,Dance,387018,Push-ups,1665
147,636553,Running,435023,Dance,678291,Stretching,1741
148,636553,Running,435023,Dance,166110,Swimming,1659
151,636553,Running,572712,Voice Training,636553,Running,1512
152,636553,Running,572712,Voice Training,783324,Flyer Distribution,1455
153,636553,Running,572712,Voice Training,641538,Meditation,1595
154,636553,Running,572712,Voice Training,435023,Dance,1434
155,636553,Running,572712,Voice Training,572712,Voice Training,1557
156,636553,Running,572712,Voice Training,387018,Push-ups,1672
157,636553,Running,572712,Voice Training,678291,Stretching,1726
158,636553,Running,572712,Voice Training,166110,Swimming,1852
161,636553,Running,387018,Push-ups,636553,Running,1638
162,636553,Running,387018,Push-ups,783324,Flyer Distribution,1661
163,636553,Running,387018,Push-ups,641538,Meditation,1524
164,636553,Running,387018,Push-ups,435023,Dance,1587
165,636553,Running,387018,Push-ups,572712,Voice Training,1591
166,636553,Running,387018,Push-ups,387018,Push-ups,1634
167,636553,Running,387018,Push-ups,678291,Stretching,1748
168,636553,Running,387018,Push-ups,166110,Swimming,1656
171,636553,Running,678291,Stretching,636553,Running,1518
172,636553,Running,678291,Stretching,783324,Flyer Distribution,1494
173,636553,Running,678291,Stretching,641538,Meditation,1524
174,636553,Running,678291,Stretching,435023,Dance,1458
175,636553,Running,678291,Stretching,572712,Voice Training,1614
176,636553,Running,678291,Stretching,387018,Push-ups,1617
177,636553,Running,678291,Stretching,678291,Stretching,1652
178,636553,Running,678291,Stretching,166110,Swimming,1757
181,636553,Running,166110,Swimming,636553,Running,1392
182,636553,Running,166110,Swimming,783324,Flyer Distribution,1605
183,636553,Running,166110,Swimming,641538,Meditation,1644
184,636553,Running,166110,Swimming,435023,Dance,1460
185,636553,Running,166110,Swimming,572712,Voice Training,1512
186,636553,Running,166110,Swimming,387018,Push-ups,1605
187,636553,Running,166110,Swimming,678291,Stretching,1554
188,636553,Running,166110,Swimming,166110,Swimming,1746
211,783324,Flyer Distribution,636553,Running,636553,Running,1525
212,783324,Flyer Distribution,636553,Running,783324,Flyer Distribution,1467
213,783324,Flyer Distribution,636553,Running,641538,Meditation,1495
214,783324,Flyer Distribution,636553,Running,435023,Dance,1485
215,783324,Flyer Distribution,636553,Running,572712,Voice Training,1526
216,783324,Flyer Distribution,636553,Running,387018,Push-ups,1540
217,783324,Flyer Distribution,636553,Running,678291,Stretching,1557
218,783324,Flyer Distribution,636553,Running,166110,Swimming,1413
221,783324,Flyer Distribution,783324,Flyer Distribution,636553,Running,1563
222,783324,Flyer Distribution,783324,Flyer Distribution,783324,Flyer Distribution,19691
223,783324,Flyer Distribution,783324,Flyer Distribution,641538,Meditation,11799
224,783324,Flyer Distribution,783324,Flyer Distribution,435023,Dance,1516
225,783324,Flyer Distribution,783324,Flyer Distribution,572712,Voice Training,1646
226,783324,Flyer Distribution,783324,Flyer Distribution,387018,Push-ups,11371
227,783324,Flyer Distribution,783324,Flyer Distribution,678291,Stretching,1612
228,783324,Flyer Distribution,783324,Flyer Distribution,166110,Swimming,11333
231,783324,Flyer Distribution,641538,Meditation,636553,Running,1618
232,783324,Flyer Distribution,641538,Meditation,783324,Flyer Distribution,1542
233,783324,Flyer Distribution,641538,Meditation,641538,Meditation,11472
234,783324,Flyer Distribution,641538,Meditation,435023,Dance,1698
235,783324,Flyer Distribution,641538,Meditation,572712,Voice Training,1657
236,783324,Flyer Distribution,641538,Meditation,387018,Push-ups,1695
237,783324,Flyer Distribution,641538,Meditation,678291,Stretching,1686
238,783324,Flyer Distribution,641538,Meditation,166110,Swimming,1643
241,783324,Flyer Distribution,435023,Dance,636553,Running,1606
242,783324,Flyer Distribution,435023,Dance,783324,Flyer Distribution,1509
243,783324,Flyer Distribution,435023,Dance,641538,Meditation,1555
244,783324,Flyer Distribution,435023,Dance,435023,Dance,11604
245,783324,Flyer Distribution,435023,Dance,572712,Voice Training,1649
246,783324,Flyer Distribution,435023,Dance,387018,Push-ups,1604
247,783324,Flyer Distribution,435023,Dance,678291,Stretching,1798
248,783324,Flyer Distribution,435023,Dance,166110,Swimming,1769
251,783324,Flyer Distribution,572712,Voice Training,636553,Running,1439
252,783324,Flyer Distribution,572712,Voice Training,783324,Flyer Distribution,1584
253,783324,Flyer Distribution,572712,Voice Training,641538,Meditation,1585
254,783324,Flyer Distribution,572712,Voice Training,435023,Dance,1676
255,783324,Flyer Distribution,572712,Voice Training,572712,Voice Training,11741
256,783324,Flyer Distribution,572712,Voice Training,387018,Push-ups,1899
257,783324,Flyer Distribution,572712,Voice Training,678291,Stretching,1600
258,783324,Flyer Distribution,572712,Voice Training,166110,Swimming,1772
261,783324,Flyer Distribution,387018,Push-ups,636553,Running,1455
262,783324,Flyer Distribution,387018,Push-ups,783324,Flyer Distribution,1550
263,783324,Flyer Distribution,387018,Push-ups,641538,Meditation,1530
264,783324,Flyer Distribution,387018,Push-ups,435023,Dance,1503
265,783324,Flyer Distribution,387018,Push-ups,572712,Voice Training,1458
266,783324,Flyer Distribution,387018,Push-ups,387018,Push-ups,1692
267,783324,Flyer Distribution,387018,Push-ups,678291,Stretching,1665
268,783324,Flyer Distribution,387018,Push-ups,166110,Swimming,1688
271,783324,Flyer Distribution,678291,Stretching,636553,Running,1534
272,783324,Flyer Distribution,678291,Stretching,783324,Flyer Distribution,1551
273,783324,Flyer Distribution,678291,Stretching,641538,Meditation,1572
274,783324,Flyer Distribution,678291,Stretching,435023,Dance,1652
275,783324,Flyer Distribution,678291,Stretching,572712,Voice Training,1510
276,783324,Flyer Distribution,678291,Stretching,387018,Push-ups,1554
277,783324,Flyer Distribution,678291,Stretching,678291,Stretching,11390
278,783324,Flyer Distribution,678291,Stretching,166110,Swimming,1851
281,783324,Flyer Distribution,166110,Swimming,636553,Running,1677
282,783324,Flyer Distribution,166110,Swimming,783324,Flyer Distribution,1611
283,783324,Flyer Distribution,166110,Swimming,641538,Meditation,1505
284,783324,Flyer Distribution,166110,Swimming,435023,Dance,1425
285,783324,Flyer Distribution,166110,Swimming,572712,Voice Training,1484
286,783324,Flyer Distribution,166110,Swimming,387018,Push-ups,1576
287,783324,Flyer Distribution,166110,Swimming,678291,Stretching,1626
288,783324,Flyer Distribution,166110,Swimming,166110,Swimming,1704
311,641538,Meditation,636553,Running,636553,Running,1469
312,641538,Meditation,636553,Running,783324,Flyer Distribution,1536
313,641538,Meditation,636553,Running,641538,Meditation,1727
314,641538,Meditation,636553,Running,435023,Dance,1620
315,641538,Meditation,636553,Running,572712,Voice Training,1398
316,641538,Meditation,636553,Running,387018,Push-ups,1551
317,641538,Meditation,636553,Running,678291,Stretching,1488
318,641538,Meditation,636553,Running,166110,Swimming,1620
321,641538,Meditation,783324,Flyer Distribution,636553,Running,1473
322,641538,Meditation,783324,Flyer Distribution,783324,Flyer Distribution,1494
323,641538,Meditation,783324,Flyer Distribution,641538,Meditation,1560
324,641538,Meditation,783324,Flyer Distribution,435023,Dance,1438
325,641538,Meditation,783324,Flyer Distribution,572712,Voice Training,1566
326,641538,Meditation,783324,Flyer Distribution,387018,Push-ups,1514
327,641538,Meditation,783324,Flyer Distribution,678291,Stretching,1482
328,641538,Meditation,783324,Flyer Distribution,166110,Swimming,1557
331,641538,Meditation,641538,Meditation,636553,Running,1623
332,641538,Meditation,641538,Meditation,783324,Flyer Distribution,1539
333,641538,Meditation,641538,Meditation,641538,Meditation,21016
334,641538,Meditation,641538,Meditation,435023,Dance,1641
